itjuzi_id,itjuzi_name,haituo_name,haituo_id,isrepeat
5177,武岳峰资本,武岳峰资本,6779,
5178,易鑫创投,查无,,
5179,华诺创投,华诺创投,5028,
5180,彩欣投资,查无,,
5181,闽天投资,查无,,
5182,辛谊投资,查无,,
5183,生物医药基金,查无,,
5184,明业上海,查无,,
5185,盛为投资,查无,,
5186,中金增储,查无,,
5187,金汉投资,查无,,
5188,德宝投资,查无,,
5189,华应美,查无,,
5190,怡和嘉投资,查无,,
5191,明辉投资,上海明辉股权投资管理有限公司,24167,
5192,仲赢投资,查无,,
5193,华渥信投资,查无,,
5194,辰林创投,查无,,
5195,TPG德太资本,德克萨斯太平洋集团,23639,
5196,中汇金,中汇金投资股份有限公司,2687,
5197,亨汇投资,查无,,
5198,万亚创投,查无,,
5199,钜石投资,查无,,
5200,兰马克投资,查无,,
5201,励进投资,查无,,
5202,北部风投,查无,,
5203,正润投资,北京正润创业投资有限责任公司,24209,
5204,神农投资,神农投资,7830,
5205,蓝色产业基金,查无,,
5206,明智合信,查无,,
5207,广东产业基金,查无,,
5208,金陵华软(金陵控股),金陵华软投资集团,4821,
5209,科宝投资,科宝投资,28653,
5210,四维创投,查无,,
5211,信成投资,查无,,
5212,建银远为,查无,,
5213,裨益丰,查无,,
5214,信文资本,信文资本,1071,
5215,湖北青创风投,查无,,
5217,绿色资本,查无,,
5218,信保投资,信保（天津）股权投资基金管理有限公司,23787,
5219,南通创投,查无,,
5220,润泰投资,查无,,
5221,信腾投资,查无,,
5222,凤颐创投,查无,,
5223,中启东投资,查无,,
5224,银海资本,查无,,
5225,生扬管理顾问,查无,,
5226,大地银鼎,大地银鼎,29430,
5227,杭州秘银资本,杭州秘银资本,3425,
5228,彬复资本,彬复资本,6612,
5229,山东文化基金,查无,,
5230,弘林投资,查无,,
5231,天鑫股权投资,查无,,
5232,SMG上海文广,上海文广资本管理,6966,
5233,科大控股,查无,,
5234,嘉略资讯,查无,,
5235,亨智投资,查无,,
5236,钛胜投资,查无,,
5237,贝奈思投资,查无,,
5238,宝利佳,查无,,
5239,星长城投资,查无,,
5240,凯信资本,查无,,
5241,新俊逸投资,新俊逸投资,28534,
5242,钱塘体育文化基金,钱塘体育文化基金,7409,
5243,清控银杏创投,清控银杏创投,995,
5244,北广文资歌华基金,北广文资歌华基金,7419,
5245,六汇,查无,,
5246,海益投资,查无,,
5247,嘉盈投资,查无,,
5248,橙力量投资,查无,,
5249,海兆资本,海兆资本,7453,
5250,锦江德尔,查无,,
5251,协和知达,查无,,
5252,太平星投资,查无,,
